バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,717,B0YDTR,タイ,1036,GOUWAN,タイ,1140,AYA.K,タイ,0,,-
1st&substream,RUGGED ASH,0,,-,334,DUO,タイ,399,T-BACK,タイ,1088,GOLUSI,タイ,1988,AYA.K,タイ
1st&substream,R3,0,,-,598,B0YDTR,タイ,697,T-BACK,タイ,900,GOLUSI,タイ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,487,CAM,タイ,722,T-BACK,タイ,1101,GOLUSI,タイ,0,,-
1st&substream,Macho Gang,0,,-,379,H027C,タイ,981,!EKIPS,タイ,1627,GOLUSI,タイ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,EZ2AC?,タイ,244,GOLUSI,タイ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,794,HYPERV,タイ,918,THANIK,タイ,1197,GOLUSI,タイ,0,,-
1st&substream,gentle stress,0,,-,339,H027C,タイ,673,H027C,タイ,1446,GOLUSI,タイ,0,,-
1st&substream,GENOM SCREAMS,0,,-,399,T*KORO,タイ,797,!EKIPS,タイ,1064,GOLUSI,タイ,0,,-
1st&substream,GAMBOL,0,,-,264,B0YDTR,タイ,272,.,タイ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,384,THANIK,タイ,496,T.SAKI,タイ,579,GOLUSI,タイ,0,,-
1st&substream,deep in you,0,,-,477,!EKIPS,タイ,504,GOLUSI,タイ,660,GOLUSI,タイ,0,,-
1st&substream,5.1.1.,0,,-,196,HAATON,タイ,973,T-BACK,タイ,1562,GOLUSI,タイ,0,,-
1st&substream,22DUNK,0,,-,492,25CHIN,タイ,614,KKMTC*,タイ,653,GOLUSI,タイ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,495,KKMTC*,タイ,577,B0YDTR,タイ,641,GOLUSI,タイ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,533,B0YDTR,タイ,853,GOLUSI,タイ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,795,THANIK,タイ,1056,IMA???,タイ,1223,GOLUSI,タイ,0,,-
2nd style,I Was The One,0,,-,516,YOSHIO,タイ,622,DOMHEE,タイ,693,MA25DX,タイ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,701,B0YDTR,タイ,857,B0YDTR,タイ,1065,GOLUSI,タイ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,677,B0YDTR,タイ,1028,T-BACK,タイ,1118,GOLUSI,タイ,0,,-
2nd style,.59,0,,-,669,B0YDTR,タイ,1000,NART!!,タイ,1153,GOLUSI,タイ,0,,-
3rd style,THE SAFARI,365,H027C,タイ,1106,YORU.A,タイ,1743,GOLUSI,タイ,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,267,BANCHO,タイ,394,T-BACK,タイ,0,,-,0,,-
3rd style,Skyscraper,0,,-,669,B0YDTR,タイ,1072,B0YDTR,タイ,1238,GOLUSI,タイ,0,,-
3rd style,Schlagwerk,0,,-,770,B0YDTR,タイ,1274,T-BACK,タイ,1681,GOLUSI,タイ,0,,-
3rd style,REINCARNATION,0,,-,789,B0YDTR,タイ,908,THANIK,タイ,1256,AYA.K,タイ,0,,-
3rd style,R5,0,,-,738,KK.MTC,タイ,1137,OCTA8T,タイ,1773,GOLUSI,タイ,0,,-
3rd style,Presto,0,,-,522,EZ2AC?,タイ,943,!EKIPS,タイ,1004,GOLUSI,タイ,0,,-
3rd style,LEADING CYBER,0,,-,699,B0YDTR,タイ,1088,YOSHIO,タイ,1258,GOLUSI,タイ,0,,-
3rd style,Holic,0,,-,760,!EKIPS,タイ,1181,!EKIPS,タイ,1709,AYA.K,タイ,0,,-
3rd style,era (nostalmix),0,,-,830,T-BACK,タイ,1059,T-BACK,タイ,1506,AYA.K,タイ,0,,-
3rd style,Don't Stop!,0,,-,683,B0YDTR,タイ,803,B0YDTR,タイ,902,GOLUSI,タイ,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,597,B0YDTR,タイ,1254,GOLUSI,タイ,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,895,T*KORO,タイ,1237,GOLUSI,タイ,1331,GOLUSI,タイ,0,,-
4th style,SWEET LAB,0,,-,497,B0YDTR,タイ,907,T-BACK,タイ,1355,GOLUSI,タイ,0,,-
4th style,starmine,447,H027C,タイ,827,NORAMI,タイ,1410,GOLUSI,タイ,1583,GOLUSI,タイ,0,,-
4th style,Mr.T.(take me higher),0,,-,785,B0YDTR,タイ,927,THANIK,タイ,1769,GOLUSI,タイ,0,,-
4th style,minimalian,0,,-,494,B0YDTR,タイ,978,YOUKAI,タイ,1406,GOLUSI,タイ,0,,-
4th style,LOVE WILL・・・,0,,-,517,B0YDTR,タイ,705,B0YDTR,タイ,1462,GOLUSI,タイ,0,,-
4th style,KAMIKAZE,0,,-,718,SIMON,タイ,1379,KKMTC*,タイ,2293,GOLUSI,タイ,0,,-
4th style,Jam&Marmalade,0,,-,616,DUO,タイ,871,CHAMP*,タイ,1009,GOLUSI,タイ,0,,-
4th style,Hitch Hiker2,0,,-,777,B0YDTR,タイ,955,TE4MA$,タイ,1282,!EKIPS,タイ,1909,GOLUSI,タイ
4th style,HIGHER,0,,-,500,B0YDTR,タイ,885,B0YDTR,タイ,1272,GOLUSI,タイ,0,,-
4th style,FLOWERS for ALBION,0,,-,236,GOLUSI,タイ,440,GOLUSI,タイ,0,,-,0,,-
4th style,era (step mix),0,,-,943,THANIK,タイ,1320,!EKIPS,タイ,1704,GOLUSI,タイ,0,,-
4th style,empathy,0,,-,773,BUNNY2,タイ,1316,GOLUSI,タイ,1473,GOLUSI,タイ,0,,-
4th style,DXY!,0,,-,1245,AYA.K,タイ,1769,KARINA,タイ,2184,OCTA8T,タイ,0,,-
4th style,Clione,0,,-,501,B0YDTR,タイ,853,CAVIAR,タイ,1609,GOLUSI,タイ,2158,GOLUSI,タイ
4th style,CHECKING YOU OUT,0,,-,622,!EKIPS,タイ,878,GOLUSI,タイ,1296,H027C,タイ,0,,-
4th style,Burnin' The Floor,0,,-,570,B0YDTR,タイ,935,T-BACK,タイ,1438,GOLUSI,タイ,0,,-
4th style,Broken My Heart,0,,-,691,B-RAX,タイ,1428,SWE*TN,タイ,1809,GOLUSI,タイ,0,,-
4th style,B4U,0,,-,719,NECKK,タイ,1483,GOUWAN,タイ,2003,GOLUSI,タイ,0,,-
4th style,ABSOLUTE,0,,-,1295,T*KORO,タイ,1703,AZUSA,タイ,2384,GOLUSI,タイ,2699,GOLUSI,タイ
4th style,250bpm,0,,-,434,LOLWUT,タイ,933,!EKIPS,タイ,1402,GOLUSI,タイ,0,,-
5th style,V,342,H027C,タイ,1276,GOLUSI,タイ,2467,NART!!,タイ,2970,AYA.K,タイ,0,,-
5th style,THE SHINING POLARIS,0,,-,588,DOM,タイ,1289,SXR,タイ,1583,GOLUSI,タイ,0,,-
