バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,573,ELECKS,インドネシア,983,E.F-D,インドネシア,1118,UE8RAI,インドネシア,0,,-
1st&substream,RUGGED ASH,0,,-,356,TAKES,インドネシア,370,H-CUP!,インドネシア,1041,MA25DX,インドネシア,1948,DNM,インドネシア
1st&substream,R3,0,,-,540,PRICEE,インドネシア,688,*#06#,インドネシア,867,U-GEE,インドネシア,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,438,WTF?!,インドネシア,729,OSU7K,インドネシア,1054,OSU7K,インドネシア,0,,-
1st&substream,Macho Gang,0,,-,351,SANYA,インドネシア,918,DEJIKO,インドネシア,1530,ELAINA,インドネシア,0,,-
1st&substream,KEEP ON MOVIN',0,,-,187,EEPY,インドネシア,244,MA25DX,インドネシア,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,772,TAKES,インドネシア,838,HUZAIR,インドネシア,1187,KENKEN,インドネシア,0,,-
1st&substream,gentle stress,0,,-,337,OSU7K,インドネシア,659,OGRCAP,インドネシア,1425,KENKEN,インドネシア,0,,-
1st&substream,GENOM SCREAMS,0,,-,400,SANYA,インドネシア,785,890,インドネシア,1028,EEPY,インドネシア,0,,-
1st&substream,GAMBOL,0,,-,266,U-GEE,インドネシア,273,MA25DX,インドネシア,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,327,PRICEE,インドネシア,502,*#06#,インドネシア,572,MA25DX,インドネシア,0,,-
1st&substream,deep in you,0,,-,441,CHLKA,インドネシア,459,YAMORI,インドネシア,651,MA25DX,インドネシア,0,,-
1st&substream,5.1.1.,0,,-,192,APIN58,インドネシア,982,HIMIKO,インドネシア,1545,TASO,インドネシア,0,,-
1st&substream,22DUNK,0,,-,412,PRICEE,インドネシア,568,CHLKA,インドネシア,644,MA25DX,インドネシア,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,375,TACO!,インドネシア,596,*#06#,インドネシア,613,KARYL,インドネシア,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,501,CMZEFI,インドネシア,846,UE8RAI,インドネシア,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,668,RUINS1,インドネシア,1045,INFP,インドネシア,1180,INDMAN,インドネシア,0,,-
2nd style,I Was The One,0,,-,442,RUINS1,インドネシア,623,*#06#,インドネシア,688,MA25DX,インドネシア,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,522,TACO!,インドネシア,779,UVB-76,インドネシア,1011,JHAYR#,インドネシア,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,551,CROSS,インドネシア,703,TNSH7,インドネシア,1085,KENKEN,インドネシア,0,,-
2nd style,.59,0,,-,641,ADUHAI,インドネシア,933,HIMIKO,インドネシア,1096,INDMAN,インドネシア,0,,-
3rd style,THE SAFARI,365,OSU7K,インドネシア,1098,FAUNA,インドネシア,1718,SHIYOU,インドネシア,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,251,SHINE,インドネシア,392,MA25DX,インドネシア,0,,-,0,,-
3rd style,Skyscraper,0,,-,509,TACO!,インドネシア,850,DJDUCK,インドネシア,1216,APIN58,インドネシア,0,,-
3rd style,Schlagwerk,0,,-,544,MOE?,インドネシア,1228,BC.DZ,インドネシア,1661,U-GEE,インドネシア,0,,-
3rd style,REINCARNATION,0,,-,737,CHLKA,インドネシア,677,MOE?,インドネシア,1268,KENKEN,インドネシア,0,,-
3rd style,R5,0,,-,651,U06RE,インドネシア,1140,MORINO,インドネシア,1769,DNM,インドネシア,0,,-
3rd style,Presto,0,,-,495,CASUAL,インドネシア,889,KBTIT,インドネシア,997,MA25DX,インドネシア,0,,-
3rd style,LEADING CYBER,0,,-,530,RUINS1,インドネシア,800,DJDUCK,インドネシア,1215,DHIONA,インドネシア,0,,-
3rd style,Holic,0,,-,654,UMA5N,インドネシア,1148,4H0Y!!,インドネシア,1646,ENMT!,インドネシア,0,,-
3rd style,era (nostalmix),0,,-,743,SK8S,インドネシア,1059,KEMU,インドネシア,1483,ENMT!,インドネシア,0,,-
3rd style,Don't Stop!,0,,-,548,RUINS1,インドネシア,623,DOOMER,インドネシア,899,MA25DX,インドネシア,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,474,CODYSB,インドネシア,1229,KENKEN,インドネシア,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,868,OSU7K,インドネシア,1130,KARYL,インドネシア,1284,BENCHD,インドネシア,0,,-
4th style,SWEET LAB,0,,-,473,K.A.PI,インドネシア,838,HIMIKO,インドネシア,1288,BURI69,インドネシア,0,,-
4th style,starmine,429,OSU7K,インドネシア,790,OGUMAN,インドネシア,1371,JHAYR#,インドネシア,1576,SKYSPA,インドネシア,0,,-
4th style,Mr.T.(take me higher),0,,-,516,JORDAN,インドネシア,976,INFP,インドネシア,1673,KENKEN,インドネシア,0,,-
4th style,minimalian,0,,-,304,WEBEMO,インドネシア,700,MOYO#,インドネシア,1301,JHAYR#,インドネシア,0,,-
4th style,LOVE WILL・・・,0,,-,436,SHINE,インドネシア,632,SHINE,インドネシア,1437,MA25DX,インドネシア,0,,-
4th style,KAMIKAZE,0,,-,832,R,インドネシア,1393,.,インドネシア,2270,ENMT!,インドネシア,0,,-
4th style,Jam&Marmalade,0,,-,746,OSU7K,インドネシア,879,MA25DX,インドネシア,981,KEMU,インドネシア,0,,-
4th style,Hitch Hiker2,0,,-,566,ELECKS,インドネシア,1065,OSU7K,インドネシア,1272,SHIYOU,インドネシア,1882,SHIYOU,インドネシア
4th style,HIGHER,0,,-,401,AIRREH,インドネシア,662,CODYSB,インドネシア,1259,MA25DX,インドネシア,0,,-
4th style,FLOWERS for ALBION,0,,-,208,AIRREH,インドネシア,424,SKYSPA,インドネシア,0,,-,0,,-
4th style,era (step mix),0,,-,793,*.EXE,インドネシア,1356,MOMOSE,インドネシア,1661,SLUURP,インドネシア,0,,-
4th style,empathy,0,,-,794,INFP,インドネシア,1179,T-WEED,インドネシア,1397,APIN58,インドネシア,0,,-
4th style,DXY!,0,,-,1220,TASO,インドネシア,1742,ANEJIL,インドネシア,2146,ENMT!,インドネシア,0,,-
4th style,Clione,0,,-,469,RUKU-L,インドネシア,740,JYXLCE,インドネシア,1599,ENMT!,インドネシア,2063,SHIYOU,インドネシア
4th style,CHECKING YOU OUT,0,,-,570,YAMADA,インドネシア,842,SANYA,インドネシア,1305,TASO,インドネシア,0,,-
4th style,Burnin' The Floor,0,,-,501,RUKU-L,インドネシア,683,ICTEA,インドネシア,1411,ALOE,インドネシア,0,,-
4th style,Broken My Heart,0,,-,706,ICTEA,インドネシア,1373,4H0Y!!,インドネシア,1750,BURI69,インドネシア,0,,-
4th style,B4U,0,,-,953,KARYL,インドネシア,1486,JHAYR#,インドネシア,1948,ENMT!,インドネシア,0,,-
4th style,ABSOLUTE,0,,-,1021,DJDUCK,インドネシア,1664,33CC,インドネシア,2299,SORA,インドネシア,2718,ENMT!,インドネシア
4th style,250bpm,0,,-,665,OSU7K,インドネシア,971,TAKES,インドネシア,1353,*SHY#,インドネシア,0,,-
5th style,V,340,OSU7K,インドネシア,1163,2.,インドネシア,2368,YOSHIO,インドネシア,2940,ENMT!,インドネシア,0,,-
5th style,THE SHINING POLARIS,0,,-,834,SHINE,インドネシア,1215,4H0Y!!,インドネシア,1561,MA25DX,インドネシア,0,,-
5th style,THE CUBE,0,,-,537,ELECKS,インドネシア,1099,SS24K,インドネシア,1300,MI-YAN,インドネシア,0,,-
5th style,sync,0,,-,1050,OSU7K,インドネシア,1864,MORINO,インドネシア,2307,U-GEE,インドネシア,0,,-
5th style,still my words,0,,-,753,RUKU-L,インドネシア,1217,ENMT!,インドネシア,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,605,GASBRK,インドネシア,1253,*#06#,インドネシア,1819,APIN58,インドネシア,0,,-
5th style,Spin the disc,0,,-,722,OSARA*,インドネシア,1233,OGRCAP,インドネシア,1284,BURI69,インドネシア,0,,-
5th style,sometime,0,,-,752,OSU7K,インドネシア,867,YAMORI,インドネシア,1285,KENKEN,インドネシア,0,,-
5th style,RISLIM,0,,-,758,SCROT,インドネシア,1186,VOID.,インドネシア,0,,-,0,,-
