バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,760,EPI-PO,シンガポール,948,RESI2-,シンガポール,1144,710,シンガポール,0,,-
1st&substream,RUGGED ASH,0,,-,354,PL.DN.,シンガポール,391,NAGISA,シンガポール,1084,935,シンガポール,1981,DOOG,シンガポール
1st&substream,R3,0,,-,651,U22525,シンガポール,701,SETNA,シンガポール,905,710,シンガポール,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,483,MLKIER,シンガポール,730,HOSHEY,シンガポール,1119,710,シンガポール,0,,-
1st&substream,Macho Gang,0,,-,373,INDEX,シンガポール,1002,EPI-PO,シンガポール,1623,710,シンガポール,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,RESI2-,シンガポール,243,INDEX,シンガポール,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,823,SUZIEQ,シンガポール,921,ZEFF,シンガポール,1203,710,シンガポール,0,,-
1st&substream,gentle stress,0,,-,337,HOSHEY,シンガポール,660,24P,シンガポール,1443,935,シンガポール,0,,-
1st&substream,GENOM SCREAMS,0,,-,387,0NZK,シンガポール,768,RESI2-,シンガポール,1054,935,シンガポール,0,,-
1st&substream,GAMBOL,0,,-,272,D,シンガポール,273,710,シンガポール,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,394,INDEX,シンガポール,504,SETNA,シンガポール,569,710,シンガポール,0,,-
1st&substream,deep in you,0,,-,474,OMULE2,シンガポール,396,MLKIER,シンガポール,659,935,シンガポール,0,,-
1st&substream,5.1.1.,0,,-,198,RESI2-,シンガポール,977,LYCOS*,シンガポール,1557,SRAN!!,シンガポール,0,,-
1st&substream,22DUNK,0,,-,495,OMULE2,シンガポール,539,SECURE,シンガポール,653,935,シンガポール,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,500,INDEX,シンガポール,601,SECURE,シンガポール,645,710,シンガポール,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,517,MLKIER,シンガポール,859,935,シンガポール,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,739,MLKIER,シンガポール,986,OKELA,シンガポール,1221,DOOG,シンガポール,0,,-
2nd style,I Was The One,0,,-,487,0NZK,シンガポール,578,SUCCII,シンガポール,689,710,シンガポール,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,684,GUMI,シンガポール,904,RESI2-,シンガポール,1064,710,シンガポール,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,648,Y*,シンガポール,901,SECURE,シンガポール,1126,710,シンガポール,0,,-
2nd style,.59,0,,-,630,0NZK,シンガポール,984,RESI2-,シンガポール,1142,935,シンガポール,0,,-
3rd style,THE SAFARI,354,LYCOS*,シンガポール,1132,EPI-PO,シンガポール,1750,DOOG,シンガポール,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,257,MLKIER,シンガポール,386,LYCOS*,シンガポール,0,,-,0,,-
3rd style,Skyscraper,0,,-,627,MLKIER,シンガポール,1137,HOSHEY,シンガポール,1244,710,シンガポール,0,,-
3rd style,Schlagwerk,0,,-,751,MLKIER,シンガポール,1230,GOSYO!,シンガポール,1679,710,シンガポール,0,,-
3rd style,REINCARNATION,0,,-,812,ZEFF,シンガポール,981,RESI2-,シンガポール,1254,935,シンガポール,0,,-
3rd style,R5,0,,-,746,LA#FA,シンガポール,1144,.,シンガポール,1758,935,シンガポール,0,,-
3rd style,Presto,0,,-,459,0NZK,シンガポール,971,LU,シンガポール,997,710,シンガポール,0,,-
3rd style,LEADING CYBER,0,,-,843,EPI-PO,シンガポール,1159,KUKO,シンガポール,1256,935,シンガポール,0,,-
3rd style,Holic,0,,-,709,38,シンガポール,1168,DATBOI,シンガポール,1699,710,シンガポール,0,,-
