バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,669,######,フィリピン,990,HIMIKO,フィリピン,1132,THAI,フィリピン,0,,-
1st&substream,RUGGED ASH,0,,-,352,QUILLY,フィリピン,395,#,フィリピン,1048,CC-TRK,フィリピン,1969,YUKI,フィリピン
1st&substream,R3,0,,-,619,ZILCH,フィリピン,694,KZSD-!,フィリピン,902,YUKI,フィリピン,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,418,REN?!,フィリピン,733,HIMIKO,フィリピン,1092,CC-TRK,フィリピン,0,,-
1st&substream,Macho Gang,0,,-,378,IIDX27,フィリピン,1035,KZSD-!,フィリピン,1586,COCO,フィリピン,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,CC-TRK,フィリピン,244,COCO,フィリピン,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,758,######,フィリピン,970,HIMIKO,フィリピン,1170,HA74MA,フィリピン,0,,-
1st&substream,gentle stress,0,,-,337,Y05,フィリピン,658,KZSD-!,フィリピン,1445,YUKI,フィリピン,0,,-
1st&substream,GENOM SCREAMS,0,,-,380,QUILLY,フィリピン,800,HIMIKO,フィリピン,1064,COCO,フィリピン,0,,-
1st&substream,GAMBOL,0,,-,274,COCO,フィリピン,269,CC-TRK,フィリピン,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,352,QUILLY,フィリピン,504,KZSD-!,フィリピン,566,THAI,フィリピン,0,,-
1st&substream,deep in you,0,,-,465,CPU69,フィリピン,500,KZSD-!,フィリピン,656,COCO,フィリピン,0,,-
1st&substream,5.1.1.,0,,-,192,CC-TRK,フィリピン,964,KZSD-!,フィリピン,1556,IIDX29,フィリピン,0,,-
1st&substream,22DUNK,0,,-,516,COCO,フィリピン,629,CC-TRK,フィリピン,649,COCO,フィリピン,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,480,QUILLY,フィリピン,599,KZSD-!,フィリピン,644,CC-TRK,フィリピン,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,562,CC-TRK,フィリピン,847,CC-TRK,フィリピン,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,750,QUILLY,フィリピン,1080,KZSD-!,フィリピン,1199,YUKI,フィリピン,0,,-
2nd style,I Was The One,0,,-,481,QUILLY,フィリピン,624,KZSD-!,フィリピン,687,THAI,フィリピン,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,429,JUGLR*,フィリピン,936,KZSD-!,フィリピン,1027,KZSD-!,フィリピン,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,355,AMY,フィリピン,1007,KZSD-!,フィリピン,1114,COCO,フィリピン,0,,-
