バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,570,PETER,マカオ,1056,.,マカオ,1155,.,マカオ,0,,-
1st&substream,RUGGED ASH,0,,-,326,SHUN,マカオ,402,.,マカオ,1076,ROCHER,マカオ,1982,ROCHER,マカオ
1st&substream,R3,0,,-,657,ROCHER,マカオ,712,ERA,マカオ,905,ROCHER,マカオ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,527,C4Z.VI,マカオ,748,ROCHER,マカオ,1106,.,マカオ,0,,-
1st&substream,Macho Gang,0,,-,381,NANASE,マカオ,972,TOMO2P,マカオ,1630,ROCHER,マカオ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,196,.,マカオ,244,.,マカオ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,720,IKE.03,マカオ,946,ZIP.,マカオ,1170,ZIP.,マカオ,0,,-
1st&substream,gentle stress,0,,-,338,AKINA*,マカオ,642,CELIS,マカオ,1448,ROCHER,マカオ,0,,-
1st&substream,GENOM SCREAMS,0,,-,377,RCHE,マカオ,824,.,マカオ,1068,ROCHER,マカオ,0,,-
1st&substream,GAMBOL,0,,-,271,CELIS,マカオ,274,ROCHER,マカオ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,394,QIED,マカオ,500,IIDX27,マカオ,580,ROCHER,マカオ,0,,-
1st&substream,deep in you,0,,-,458,SAME*,マカオ,506,.,マカオ,665,ROCHER,マカオ,0,,-
1st&substream,5.1.1.,0,,-,193,PROTIN,マカオ,1019,.,マカオ,1568,ROCHER,マカオ,0,,-
1st&substream,22DUNK,0,,-,486,C4Z.VI,マカオ,563,C4Z.VI,マカオ,658,ROCHER,マカオ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,472,RCHE,マカオ,623,MS.04,マカオ,646,.,マカオ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,575,ROCHER,マカオ,862,ROCHER,マカオ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,798,AKINA*,マカオ,1027,IST-CH,マカオ,1219,ROCHER,マカオ,0,,-
2nd style,I Was The One,0,,-,503,YU$QQQ,マカオ,649,.,マカオ,681,ROCHER,マカオ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,732,AKINA*,マカオ,912,IST-CH,マカオ,1056,.,マカオ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,654,C4Z.VI,マカオ,967,MACH.,マカオ,1126,ROCHER,マカオ,0,,-
2nd style,.59,0,,-,686,AKINA*,マカオ,957,RCHE,マカオ,1147,ROCHER,マカオ,0,,-
3rd style,THE SAFARI,362,AKINA*,マカオ,1174,KEMO,マカオ,1763,ROCHER,マカオ,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,172,M4R1M0,マカオ,393,.,マカオ,0,,-,0,,-
3rd style,Skyscraper,0,,-,673,C4Z.VI,マカオ,1107,IST-CH,マカオ,1247,.,マカオ,0,,-
3rd style,Schlagwerk,0,,-,659,KELLY,マカオ,1228,C4Z.VI,マカオ,1647,MFYUUU,マカオ,0,,-
3rd style,REINCARNATION,0,,-,746,C4Z.VI,マカオ,938,IST-CH,マカオ,1253,QIED,マカオ,0,,-
3rd style,R5,0,,-,726,C4Z.VI,マカオ,1162,ROCHER,マカオ,1768,.,マカオ,0,,-
3rd style,Presto,0,,-,463,C4Z.VI,マカオ,975,ROCHER,マカオ,985,MA25DX,マカオ,0,,-
3rd style,LEADING CYBER,0,,-,538,PETER,マカオ,1108,IST-CH,マカオ,1210,ERA,マカオ,0,,-
3rd style,Holic,0,,-,741,SYRUP*,マカオ,1137,NANASE,マカオ,1693,ROCHER,マカオ,0,,-
3rd style,era (nostalmix),0,,-,765,C4Z.VI,マカオ,1082,.,マカオ,1518,ROCHER,マカオ,0,,-
3rd style,Don't Stop!,0,,-,744,AKINA*,マカオ,835,IST-CH,マカオ,906,.,マカオ,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,565,YU$QQQ,マカオ,1251,.,マカオ,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,857,E.F-D,マカオ,1239,SUPERR,マカオ,1325,ROCHER,マカオ,0,,-
4th style,SWEET LAB,0,,-,550,ROCHER,マカオ,854,C4Z.VI,マカオ,1366,ROCHER,マカオ,0,,-
4th style,starmine,402,WHAT!?,マカオ,849,UNIMAN,マカオ,1393,ROCHER,マカオ,1570,ROCHER,マカオ,0,,-
4th style,Mr.T.(take me higher),0,,-,790,AKINA*,マカオ,954,AKINA*,マカオ,1761,ROCHER,マカオ,0,,-
4th style,minimalian,0,,-,503,C4Z.VI,マカオ,1055,ERA,マカオ,1391,ROCHER,マカオ,0,,-
4th style,LOVE WILL・・・,0,,-,504,C4Z.VI,マカオ,713,IST-CH,マカオ,1463,ROCHER,マカオ,0,,-
4th style,KAMIKAZE,0,,-,905,C4Z.VI,マカオ,1366,IST-CH,マカオ,2285,ROCHER,マカオ,0,,-
4th style,Jam&Marmalade,0,,-,697,C4Z.VI,マカオ,838,IST-CH,マカオ,1012,ROCHER,マカオ,0,,-
4th style,Hitch Hiker2,0,,-,766,C4Z.VI,マカオ,1107,IST-CH,マカオ,1291,TYY-TL,マカオ,1940,.,マカオ
4th style,HIGHER,0,,-,478,C4Z.VI,マカオ,871,IST-CH,マカオ,1282,.,マカオ,0,,-
4th style,FLOWERS for ALBION,0,,-,231,ZIP.,マカオ,444,ROCHER,マカオ,0,,-,0,,-
4th style,era (step mix),0,,-,953,BUSHIN,マカオ,1420,.,マカオ,1699,ROCHER,マカオ,0,,-
4th style,empathy,0,,-,668,KELLY,マカオ,1286,IST-CH,マカオ,1447,ROCHER,マカオ,0,,-
4th style,DXY!,0,,-,1288,.,マカオ,1737,T-BACK,マカオ,2240,ROCHER,マカオ,0,,-
4th style,Clione,0,,-,474,C4Z.VI,マカオ,882,IST-CH,マカオ,1609,ROCHER,マカオ,2135,ROCHER,マカオ
4th style,CHECKING YOU OUT,0,,-,603,ZIP.,マカオ,890,.,マカオ,1337,ROCHER,マカオ,0,,-
4th style,Burnin' The Floor,0,,-,548,C4Z.VI,マカオ,900,C4Z.VI,マカオ,1439,.,マカオ,0,,-
4th style,Broken My Heart,0,,-,876,C4Z.VI,マカオ,1377,IST-CH,マカオ,1822,ROCHER,マカオ,0,,-
4th style,B4U,0,,-,849,84*,マカオ,1457,C4Z.VI,マカオ,1990,ROCHER,マカオ,0,,-
4th style,ABSOLUTE,0,,-,1237,RCHE,マカオ,1652,IST-CH,マカオ,2383,ROCHER,マカオ,2702,ROCHER,マカオ
4th style,250bpm,0,,-,412,A4RKW?,マカオ,937,IST-CH,マカオ,1403,ROCHER,マカオ,0,,-
5th style,V,307,KEVINK,マカオ,1292,ROCHER,マカオ,2522,.,マカオ,2953,DT-G59,マカオ,0,,-
5th style,THE SHINING POLARIS,0,,-,842,84*,マカオ,1201,C4Z.VI,マカオ,1590,ROCHER,マカオ,0,,-
5th style,THE CUBE,0,,-,687,C4Z.VI,マカオ,1164,C4Z.VI,マカオ,1361,ROCHER,マカオ,0,,-
5th style,sync,0,,-,953,PETER,マカオ,1838,C4Z.VI,マカオ,2382,.,マカオ,0,,-
5th style,still my words,0,,-,757,37564,マカオ,1236,.,マカオ,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,972,AKINA*,マカオ,1286,ZIP.,マカオ,1928,ROCHER,マカオ,0,,-
5th style,Spin the disc,0,,-,731,C4Z.VI,マカオ,1275,ROCHER,マカオ,1320,ROCHER,マカオ,0,,-
5th style,sometime,0,,-,715,-KYO-,マカオ,1066,.,マカオ,1322,ROCHER,マカオ,0,,-
5th style,RISLIM,0,,-,845,C4Z.VI,マカオ,1229,ROCHER,マカオ,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,740,TOYOPY,マカオ,1068,CHEAP,マカオ,1708,ROCHER,マカオ,1814,TYY-TL,マカオ
5th style,Regulus,0,,-,711,BUSHIN,マカオ,1312,C4Z.VI,マカオ,1691,ROCHER,マカオ,0,,-
5th style,Real,0,,-,1012,C4Z.VI,マカオ,1551,R-BOX,マカオ,1778,ROCHER,マカオ,0,,-
5th style,Radical Faith,0,,-,1065,MACH.,マカオ,1447,21.000,マカオ,1278,QIED,マカオ,0,,-
5th style,QQQ,0,,-,1084,PETER,マカオ,1774,LM.D-Y,マカオ,2159,ROCHER,マカオ,0,,-
5th style,outer wall,0,,-,852,C4Z.VI,マカオ,1255,IST-CH,マカオ,1746,ROCHER,マカオ,0,,-
