バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,736,HOJO,アメリカ,1046,PHN!X,アメリカ,1144,PHN!X,アメリカ,0,,-
1st&substream,RUGGED ASH,0,,-,357,TEHSIG,アメリカ,396,KJA-P,アメリカ,1080,PHN!X,アメリカ,2010,PHN!X,アメリカ
1st&substream,R3,0,,-,632,QCOM,アメリカ,710,OGRCAP,アメリカ,899,ARK,アメリカ,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,537,SALEM,アメリカ,730,YRMCHN,アメリカ,1109,PHN!X,アメリカ,0,,-
1st&substream,Macho Gang,0,,-,377,B-MORE,アメリカ,1012,C4-621,アメリカ,1610,KEV.,アメリカ,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,BIGC,アメリカ,244,BIGC,アメリカ,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,846,DAGETT,アメリカ,959,WWE,アメリカ,1200,PHN!X*,アメリカ,0,,-
1st&substream,gentle stress,0,,-,341,WWE,アメリカ,660,KJA-P,アメリカ,1444,HOTDOG,アメリカ,0,,-
1st&substream,GENOM SCREAMS,0,,-,399,U235,アメリカ,800,MIMI,アメリカ,1065,-.-,アメリカ,0,,-
1st&substream,GAMBOL,0,,-,273,AKUMA,アメリカ,274,BIGC,アメリカ,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,405,AKUMA,アメリカ,516,BIGC,アメリカ,573,CPA,アメリカ,0,,-
1st&substream,deep in you,0,,-,479,FLUZZ,アメリカ,485,ESC,アメリカ,660,ARK,アメリカ,0,,-
1st&substream,5.1.1.,0,,-,197,BIGC,アメリカ,1010,YESICA,アメリカ,1566,MICKEY,アメリカ,0,,-
1st&substream,22DUNK,0,,-,512,WWE,アメリカ,630,IR18.,アメリカ,654,PHN!X,アメリカ,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,488,U235,アメリカ,600,WWE,アメリカ,648,ARK,アメリカ,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,542,U235,アメリカ,854,ARK,アメリカ,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,822,GRTHOK,アメリカ,1065,WWE,アメリカ,1216,PHN!X,アメリカ,0,,-
2nd style,I Was The One,0,,-,522,AKUMA,アメリカ,630,WWE,アメリカ,691,VEGETA,アメリカ,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,727,U235,アメリカ,893,GRTHOK,アメリカ,1066,TCOBEL,アメリカ,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,690,WESLEY,アメリカ,1026,KEV*B.,アメリカ,1117,PUNK,アメリカ,0,,-
2nd style,.59,0,,-,666,U235,アメリカ,1001,SIMP,アメリカ,1150,GB-ELA,アメリカ,0,,-
3rd style,THE SAFARI,359,SRMY,アメリカ,1205,BIGC,アメリカ,1767,ARK,アメリカ,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,271,ASHURA,アメリカ,396,-.-,アメリカ,0,,-,0,,-
3rd style,Skyscraper,0,,-,698,GRTHOK,アメリカ,1121,WWE,アメリカ,1247,JJSKBZ,アメリカ,0,,-
