バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,596,VXQORS,オーストラリア,968,IKIKIK,オーストラリア,1069,890,オーストラリア,0,,-
1st&substream,RUGGED ASH,0,,-,273,BURGER,オーストラリア,329,TELL44,オーストラリア,1048,KOO,オーストラリア,1941,JOHNNN,オーストラリア
1st&substream,R3,0,,-,550,TOYOPY,オーストラリア,709,JOHNNN,オーストラリア,876,DAIJRO,オーストラリア,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,400,JANICE,オーストラリア,563,TELL44,オーストラリア,1077,TAIKO4,オーストラリア,0,,-
1st&substream,Macho Gang,0,,-,189,TOOF,オーストラリア,819,TOYOPY,オーストラリア,1562,CPTSU,オーストラリア,0,,-
1st&substream,KEEP ON MOVIN',0,,-,191,PIPPA,オーストラリア,240,LAMU,オーストラリア,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,554,JANICE,オーストラリア,856,I0KIMU,オーストラリア,1134,TAIKO4,オーストラリア,0,,-
1st&substream,gentle stress,0,,-,250,BURGER,オーストラリア,574,TOYOPY,オーストラリア,1426,TAIKO4,オーストラリア,0,,-
1st&substream,GENOM SCREAMS,0,,-,385,TOYOPY,オーストラリア,712,SZR,オーストラリア,1044,TAIKO4,オーストラリア,0,,-
1st&substream,GAMBOL,0,,-,235,TOYOPY,オーストラリア,262,TAIKO4,オーストラリア,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,357,TOYOPY,オーストラリア,365,OMNI,オーストラリア,566,LAMU,オーストラリア,0,,-
1st&substream,deep in you,0,,-,339,VXQORS,オーストラリア,224,BURGER,オーストラリア,648,TAIKO4,オーストラリア,0,,-
1st&substream,5.1.1.,0,,-,198,TAIKO4,オーストラリア,785,TOYOPY,オーストラリア,1556,CPTSU,オーストラリア,0,,-
1st&substream,22DUNK,0,,-,267,DJNATE,オーストラリア,507,TOYOPY,オーストラリア,645,TAIKO4,オーストラリア,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,353,JUSTIN,オーストラリア,563,TELL44,オーストラリア,620,PIPPA,オーストラリア,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,341,BURGER,オーストラリア,836,ZUNDAM,オーストラリア,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,659,TALIX,オーストラリア,839,TOYOPY,オーストラリア,1171,TAIKO4,オーストラリア,0,,-
2nd style,I Was The One,0,,-,361,BURGER,オーストラリア,567,TOYOPY,オーストラリア,677,TAIKO4,オーストラリア,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,643,TOYOPY,オーストラリア,744,TOYOPY,オーストラリア,1003,PIPPA,オーストラリア,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,329,ZANDO,オーストラリア,749,TOYOPY,オーストラリア,1109,TAIKO4,オーストラリア,0,,-
2nd style,.59,0,,-,697,OKD,オーストラリア,773,TOYOPY,オーストラリア,1120,TAIKO4,オーストラリア,0,,-
3rd style,THE SAFARI,340,TOYOPY,オーストラリア,946,6614**,オーストラリア,1713,TAIKO4,オーストラリア,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,207,DFLAT,オーストラリア,372,PIPPA,オーストラリア,0,,-,0,,-
3rd style,Skyscraper,0,,-,527,KOOL,オーストラリア,1042,UGOKAN,オーストラリア,1160,PIPPA,オーストラリア,0,,-
