バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,522,RUINS1,ニュージーランド,1003,E.F-D,ニュージーランド,1123,123456,ニュージーランド,0,,-
1st&substream,RUGGED ASH,0,,-,369,OO7,ニュージーランド,379,WAKAS,ニュージーランド,1074,TAIKO6,ニュージーランド,1982,POLMER,ニュージーランド
1st&substream,R3,0,,-,642,86TARO,ニュージーランド,714,NIJIKA,ニュージーランド,890,PIUPIU,ニュージーランド,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,448,RUINS1,ニュージーランド,653,TOYOPY,ニュージーランド,1089,TAIKO6,ニュージーランド,0,,-
1st&substream,Macho Gang,0,,-,374,SEII-,ニュージーランド,973,BERRY!,ニュージーランド,1571,IIDX30,ニュージーランド,0,,-
1st&substream,KEEP ON MOVIN',0,,-,195,SEII-,ニュージーランド,244,YU-*,ニュージーランド,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,805,TOYOPY,ニュージーランド,837,TOYOPY,ニュージーランド,1174,IIDX32,ニュージーランド,0,,-
1st&substream,gentle stress,0,,-,338,OO7,ニュージーランド,644,86TARO,ニュージーランド,1448,POLMER,ニュージーランド,0,,-
1st&substream,GENOM SCREAMS,0,,-,408,OO7,ニュージーランド,780,ZAE,ニュージーランド,1049,POLMER,ニュージーランド,0,,-
1st&substream,GAMBOL,0,,-,273,SEII-,ニュージーランド,274,MA25DX,ニュージーランド,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,370,TOYOPY,ニュージーランド,495,OO7,ニュージーランド,570,TAIKO6,ニュージーランド,0,,-
1st&substream,deep in you,0,,-,480,GUEST.,ニュージーランド,486,86TARO,ニュージーランド,655,TAIKO6,ニュージーランド,0,,-
1st&substream,5.1.1.,0,,-,196,SEII-,ニュージーランド,961,ABR!,ニュージーランド,1552,PIUPIU,ニュージーランド,0,,-
1st&substream,22DUNK,0,,-,496,OO7,ニュージーランド,612,86TARO,ニュージーランド,643,TAIKO6,ニュージーランド,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,481,OO7,ニュージーランド,409,PHZN,ニュージーランド,646,TAIKO6,ニュージーランド,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,558,OO7,ニュージーランド,853,TAIKO6,ニュージーランド,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,767,TOYOPY,ニュージーランド,787,RUINS1,ニュージーランド,1205,TAIKO6,ニュージーランド,0,,-
2nd style,I Was The One,0,,-,518,OO7,ニュージーランド,641,IIDX32,ニュージーランド,686,IIDX30,ニュージーランド,0,,-
2nd style,Electro Tuned(the SubS mix),0,,-,531,REMY,ニュージーランド,856,DEJIKO,ニュージーランド,1051,IIDX32,ニュージーランド,0,,-
2nd style,Digital MinD(A/T Libra mix),0,,-,718,86TARO,ニュージーランド,923,IMA?,ニュージーランド,1087,443.,ニュージーランド,0,,-
2nd style,.59,0,,-,546,RUINS1,ニュージーランド,990,NIJIKA,ニュージーランド,1141,TAIKO6,ニュージーランド,0,,-
3rd style,THE SAFARI,362,OO7,ニュージーランド,1190,M,ニュージーランド,1750,POLMER,ニュージーランド,0,,-,0,,-
3rd style,Tangerine Stream,0,,-,281,SEII-,ニュージーランド,389,C4R0,ニュージーランド,0,,-,0,,-
3rd style,Skyscraper,0,,-,657,TOYOPY,ニュージーランド,847,CHROMO,ニュージーランド,1217,TAIKO6,ニュージーランド,0,,-
3rd style,Schlagwerk,0,,-,703,TOYOPY,ニュージーランド,958,ARTHUR,ニュージーランド,1667,YU-*,ニュージーランド,0,,-
3rd style,REINCARNATION,0,,-,678,RUINS1,ニュージーランド,920,0N666,ニュージーランド,1251,IIDX32,ニュージーランド,0,,-
3rd style,R5,0,,-,509,RUINS1,ニュージーランド,1146,NIJIKA,ニュージーランド,1751,TAIKO6,ニュージーランド,0,,-
3rd style,Presto,0,,-,461,TOYOPY,ニュージーランド,917,NIJIKA,ニュージーランド,995,MA25DX,ニュージーランド,0,,-
3rd style,LEADING CYBER,0,,-,693,TOYOPY,ニュージーランド,1182,443.,ニュージーランド,1246,M,ニュージーランド,0,,-
3rd style,Holic,0,,-,737,86TARO,ニュージーランド,1176,NIJIKA,ニュージーランド,1684,TAIKO6,ニュージーランド,0,,-
3rd style,era (nostalmix),0,,-,720,RUINS1,ニュージーランド,1075,ZAE,ニュージーランド,1482,IIDX32,ニュージーランド,0,,-
3rd style,Don't Stop!,0,,-,716,TOYOPY,ニュージーランド,510,RUINS1,ニュージーランド,901,TAIKO6,ニュージーランド,0,,-
3rd style,CAN'T STOP FALLIN'IN LOVE,0,,-,481,RUINS1,ニュージーランド,1231,TAIKO6,ニュージーランド,0,,-,0,,-
4th style,Voltage (feat. Hidemaru),0,,-,705,ARTHUR,ニュージーランド,1197,DESUYO,ニュージーランド,1318,POLMER,ニュージーランド,0,,-
4th style,SWEET LAB,0,,-,522,OO7,ニュージーランド,862,WAKAS,ニュージーランド,1320,0721,ニュージーランド,0,,-
4th style,starmine,444,SEII-,ニュージーランド,677,RUINS1,ニュージーランド,1386,NIJIKA,ニュージーランド,1558,IIDX32,ニュージーランド,0,,-
4th style,Mr.T.(take me higher),0,,-,772,TOYOPY,ニュージーランド,927,0N666,ニュージーランド,1721,IIDX30,ニュージーランド,0,,-
4th style,minimalian,0,,-,518,OO7,ニュージーランド,1031,BERRY!,ニュージーランド,1370,ZAE,ニュージーランド,0,,-
4th style,LOVE WILL・・・,0,,-,503,TOYOPY,ニュージーランド,710,BRKN,ニュージーランド,1450,TAIKO6,ニュージーランド,0,,-
4th style,KAMIKAZE,0,,-,799,RUINS1,ニュージーランド,1316,0N666,ニュージーランド,2249,POLMER,ニュージーランド,0,,-
4th style,Jam&Marmalade,0,,-,761,BRKN,ニュージーランド,693,DAVID,ニュージーランド,1002,TAIKO6,ニュージーランド,0,,-
4th style,Hitch Hiker2,0,,-,722,TOYOPY,ニュージーランド,1114,WAKAS,ニュージーランド,1298,TAIKO6,ニュージーランド,1925,POLMER,ニュージーランド
4th style,HIGHER,0,,-,530,OO7,ニュージーランド,842,0N666,ニュージーランド,1268,TAIKO6,ニュージーランド,0,,-
4th style,FLOWERS for ALBION,0,,-,236,SEII-,ニュージーランド,432,KOO,ニュージーランド,0,,-,0,,-
4th style,era (step mix),0,,-,1015,BUSHIN,ニュージーランド,1374,GUEST.,ニュージーランド,1686,POLMER,ニュージーランド,0,,-
4th style,empathy,0,,-,629,RUINS1,ニュージーランド,1233,WAKAS,ニュージーランド,1431,ZAE,ニュージーランド,0,,-
4th style,DXY!,0,,-,1269,TAIKO6,ニュージーランド,1827,KOO,ニュージーランド,2219,POLMER,ニュージーランド,0,,-
4th style,Clione,0,,-,435,MUMIN2,ニュージーランド,726,RUINS1,ニュージーランド,1592,TAIKO6,ニュージーランド,2154,POLMER,ニュージーランド
4th style,CHECKING YOU OUT,0,,-,626,IIDX32,ニュージーランド,845,M,ニュージーランド,1344,YU-*,ニュージーランド,0,,-
4th style,Burnin' The Floor,0,,-,574,86TARO,ニュージーランド,940,NIJIKA,ニュージーランド,1436,TAIKO6,ニュージーランド,0,,-
4th style,Broken My Heart,0,,-,762,TOYOPY,ニュージーランド,1400,ABR!,ニュージーランド,1782,TAIKO6,ニュージーランド,0,,-
4th style,B4U,0,,-,935,0N666,ニュージーランド,1459,KOO,ニュージーランド,1969,KOO,ニュージーランド,0,,-
4th style,ABSOLUTE,0,,-,1070,TOYOPY,ニュージーランド,1738,KZSD!!,ニュージーランド,2372,PIUPIU,ニュージーランド,2708,POLMER,ニュージーランド
4th style,250bpm,0,,-,530,ARTHUR,ニュージーランド,961,KTGR,ニュージーランド,1377,TAIKO6,ニュージーランド,0,,-
5th style,V,340,OO7,ニュージーランド,1248,M,ニュージーランド,2398,NIJIKA,ニュージーランド,2997,SRAN,ニュージーランド,0,,-
5th style,THE SHINING POLARIS,0,,-,555,PHZN,ニュージーランド,1235,WAKAS,ニュージーランド,1567,TAIKO6,ニュージーランド,0,,-
5th style,THE CUBE,0,,-,711,86TARO,ニュージーランド,1165,WAKAS,ニュージーランド,1325,TAIKO6,ニュージーランド,0,,-
5th style,sync,0,,-,901,TOYOPY,ニュージーランド,1913,POLMER,ニュージーランド,2339,POLMER,ニュージーランド,0,,-
5th style,still my words,0,,-,663,PHZN,ニュージーランド,1217,TAIKO6,ニュージーランド,0,,-,0,,-
5th style,STILL IN MY HEART,0,,-,916,0N666,ニュージーランド,1377,YU-*,ニュージーランド,1869,TAIKO6,ニュージーランド,0,,-
5th style,Spin the disc,0,,-,770,BERRY!,ニュージーランド,1222,DESUYO,ニュージーランド,1296,TAIKO6,ニュージーランド,0,,-
5th style,sometime,0,,-,740,C4R0,ニュージーランド,1009,C4R0,ニュージーランド,1293,TAIKO6,ニュージーランド,0,,-
5th style,RISLIM,0,,-,774,TOYOPY,ニュージーランド,1192,TAIKO6,ニュージーランド,0,,-,0,,-
5th style,RIDE ON THE LIGHT (HI GREAT MIX),0,,-,842,86TARO,ニュージーランド,854,TOYOPY,ニュージーランド,1691,POLMER,ニュージーランド,1804,POLMER,ニュージーランド
5th style,Regulus,0,,-,791,ARTHUR,ニュージーランド,1110,ARTHUR,ニュージーランド,1664,TAIKO6,ニュージーランド,0,,-
5th style,Real,0,,-,944,DEJIKO,ニュージーランド,1371,WAKAS,ニュージーランド,1668,TAGCH,ニュージーランド,0,,-
5th style,Radical Faith,0,,-,821,DENJIN,ニュージーランド,1518,PIUPIU,ニュージーランド,1261,TAIKO6,ニュージーランド,0,,-
5th style,QQQ,0,,-,1068,TOYOPY,ニュージーランド,1784,86TARO,ニュージーランド,2131,TAIKO6,ニュージーランド,0,,-
5th style,outer wall,0,,-,597,PHZN,ニュージーランド,1259,WAKAS,ニュージーランド,1713,TAIKO6,ニュージーランド,0,,-
