バージョン,タイトル,BEGINNER EXスコア,BEGINNER DJName,BEGINNER 都道府県,NORMAL EXスコア,NORMAL DJName,NORMAL 都道府県,HYPER EXスコア,HYPER DJName,HYPER 都道府県,ANOTHER EXスコア,ANOTHER DJName,ANOTHER 都道府県,LEGGENDARIA EXスコア,LEGGENDARIA DJName,LEGGENDARIA 都道府県
1st&substream,THE EARTH LIGHT,0,,-,785,YURU3,海外,1031,IIDX30,海外,1149,SUFOLK,海外,0,,-
1st&substream,RUGGED ASH,0,,-,367,YURU3,海外,398,METHY,海外,1093,KARUBI,海外,2000,NANACH,海外
1st&substream,R3,0,,-,654,IIDX28,海外,731,IIDX27,海外,904,KARUBI,海外,0,,-
1st&substream,PARANOIA MAX～DIRTY MIX～,0,,-,557,LAWSON,海外,734,IIDX28,海外,1101,SIRASE,海外,0,,-
1st&substream,Macho Gang,0,,-,378,X-KYAK,海外,1064,YURU3,海外,1618,KARUBI,海外,0,,-
1st&substream,KEEP ON MOVIN',0,,-,193,YURU3,海外,244,IIDX29,海外,0,,-,0,,-
1st&substream,GRADIUSIC CYBER,0,,-,803,LILIAN,海外,969,YURU3,海外,1196,KARUBI,海外,0,,-
1st&substream,gentle stress,0,,-,340,YURU3,海外,669,YURU3,海外,1443,UI.KZK,海外,0,,-
1st&substream,GENOM SCREAMS,0,,-,415,YURU3,海外,808,YURU3,海外,1061,KARUBI,海外,0,,-
1st&substream,GAMBOL,0,,-,274,RUCO,海外,274,#CHORD,海外,0,,-,0,,-
1st&substream,Dr.LOVE,0,,-,402,YURU3,海外,513,YURU3,海外,574,SIRASE,海外,0,,-
1st&substream,deep in you,0,,-,491,YURU3,海外,497,YURU3,海外,663,KARUBI,海外,0,,-
1st&substream,5.1.1.,0,,-,195,KATANA,海外,1008,IIDX27,海外,1562,SIRASE,海外,0,,-
1st&substream,22DUNK,0,,-,511,YURU3,海外,631,X-KYAK,海外,652,SUFOLK,海外,0,,-
2nd style,SP-TRIP MACHINE(for beatmania II),0,,-,503,YURU3,海外,625,IIDX28,海外,642,RUCO,海外,0,,-
2nd style,PUT YOUR FAITH IN ME(for beatmania II),0,,-,570,YURU3,海外,864,KARUBI,海外,0,,-,0,,-
2nd style,Indigo Vision(full flavour hide around mix),0,,-,865,YURU3,海外,1118,YURU3,海外,1219,CARS3X,海外,0,,-
2nd style,I Was The One,0,,-,533,IIDX28,海外,647,IIDX28,海外,690,TOONEW,海外,0,,-
